Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,predicted cpt,predicted density,calculated cpt,calculated density,"% error, cpt","% error, density",Round,Series,Category,"kde, density","kde, cpt","kde, multivariate"
CCCC[n+]1cc[nH]c1.COP(=O)([O-])OC,9,0.8208955223880597,1-butyl-3-methylimidazolium,dimethylphosphate,484.88,1043.82,425.28,1161.93,14.01,10.16,1,2,Imidazolium,2.3232038230859144,0.3757984565927193,1.9616915045366108
CC[n+]1cccc(c1(CCCCC)).N#C[N-]C#N,13,0.8047808764940239,"1,2-diethylpyridinium",dicyanamide,447.64,1029.82,469.82,984.91,4.72,4.56,1,2,Pyridinium,2.323286537672223,0.3902682757932331,2.0167598126381363
CCC[NH+](CC)CC.C[C@@H](O)[C@H](N)C(=O)[O-],8,0.6097560975609756,tributylmethylammonium,L-threoninate,445.4,1052.86,512.27,1026.32,13.05,2.59,1,2,Ammonium,2.3410292838447377,0.3858128866706572,2.044552334533575
CCC(C)CCCCC[n+]1ccc(C)cc1.[Cl-],16,0.8601398601398601,1-butyl-2-methylpyridinium,chloride,361.51,998.95,488.85,949.52,26.05,5.21,1,2,Pyridinium,0.8584578302033677,1.2626489812033437,1.9471727138768111
C1COCC[N+]1.O=C([O-])[C@@H]1CCCN1,6,0.5161290322580645,1-methyl-3-octyl-1H-imidazol-3-ium,L-prolinate,407.13,1112.36,366.15,1178.11,11.19,5.58,1,2,Imidazolium,1.2936546500886892,1.868037482174192,2.1594714499491867
CCCCc1c[n+](NC)ccc1C.C[C@@H](O)[C@H](N)C(=O)[O-],13,0.5205479452054794,1-ethyl-2-methylpyridinium,L-threoninate,332.47,1092.24,557.64,1056.34,40.38,3.4,1,2,Pyridinium,3.5287995719297838,1.2623052252292122,2.000072776030965
CCc1c[nH]c[n+]1C.N#C[N-]C#N,8,0.5208333333333334,"1,3-dimethylimidazolium",dicyanamide,322.29,1018.21,316.75,1090.94,1.75,6.67,1,2,Imidazolium,1.3787332065077942,0.5382857503703591,1.801779855139356
CCC(C)CCCCCC[n+]1cccc(C#N)c1.N[C@@H](CS)C(=O)[O-],18,0.9547511312217196,3-cyano-1-octylpyridinium,L-cysteinate,467.04,1100.06,829.79,1055.49,43.72,4.22,1,2,Pyridinium,3.54606121819388,0.7362823750585195,2.1199370798713257
CCCCCC(CC)CC[N+]1(C)CCOCC1.O=C([O-])C(F)(F)F,17,0.6210526315789474,"N,N,N-triethyldodecan-1-aminium",trifluoroacetate,460.98,1053.0,649.91,1091.09,29.07,3.49,1,2,Aminium,2.357981116488582,0.5959190207743795,2.044552334533575
CCCC[N+]1=C(NC=C1)C2=CC=CC=C2.C[C@@H](O)[C@H](N)C(=O)[O-],15,0.5813953488372093,1-butyl-3-methylimidazolium,L-threoninate,443.41,1145.35,598.75,1119.99,25.94,2.26,1,2,Imidazolium,2.234093534487397,0.3955744419116822,2.2078627899853718
CCC[n+]1c(C)cccc1C(C)CC.[Cl-],14,0.643312101910828,"1,2-diethylpyridinium",chloride,333.89,1063.17,431.09,980.78,22.55,8.4,1,2,Pyridinium,3.3604801161409914,0.9625773717336444,1.9697969595104607
CCC(CCCCC[n+]1cccc(C)c1)C(C)NO.N[C@@H](CS)C(=O)[O-],19,0.7435897435897436,N-octyl-3-methylpyridinium,L-cysteinate,504.36,1110.2,717.61,1077.19,29.72,3.06,1,2,Pyridinium,1.2339166450770578,1.5694066167037632,2.055981964054421
CCCCn1cc[n+](c1)CCCCCCO.N#C[N-]C#N,16,0.9005524861878453,3-hexyl-1-methylimidazolium,dicyanamide,446.38,1069.38,592.71,1027.38,24.69,4.09,1,2,Imidazolium,2.786436329423768,0.3873080957489964,2.0711220780352884
CC(C)C(C)CCC[n+]1ccc(C#N)c(N)c1.N[C@@H](CS)C(=O)[O-],17,0.6254545454545455,1-hexyl-4-cyanopyridinium,L-cysteinate,434.79,1033.12,693.69,1109.09,37.32,6.85,1,2,Pyridinium,3.0123649332011238,1.0633551955595226,2.0509945567657777
